10.97,11.65,9.66,6.59,8.63,9.62,14.78,9.53,26.52,16.9
10.95,11.65,9.6,6.58,8.56,9.62,14.67,9.46,26.76,16.99
10.64,11.71,9.48,6.47,8.99,9.6,14.65,9.3,26.13,16.6
10.7,11.78,9.64,6.45,9.14,9.55,14.88,9.3,25.88,16.5
10.77,11.73,9.63,6.48,9.24,9.49,14.62,9.28,26.13,16.51
10.83,11.7,9.71,6.46,8.95,9.45,14.65,9.42,26,16.43
11.11,10.68,9.9,6.55,9.29,9.63,14.5,9.38,26.38,16.47
10.98,10.59,9.84,6.47,9.71,9.61,14.49,9.38,25.99,16.56
10.74,10.42,9.76,6.42,9.64,9.47,14.3,9.18,25.74,16.49
10.71,10.13,9.61,6.41,9.48,9.37,13.9,9.19,25.52,16.83
10.82,10,9.53,6.3,9.2,9.28,13.21,9.16,25.4,17.43
10.77,10.02,9.53,6.17,8.74,9.25,14,9.09,24.82,17.01
10.08,9.39,9.03,5.7,8.3,8.7,13.92,8.54,22.7,17.16
9.55,9.04,8.72,5.59,7.89,8.44,13.83,8.24,22.51,17.23
9.98,9.42,9.04,5.85,8.28,8.76,13.61,8.41,23.18,17.18
9.73,9.28,8.89,5.85,8.52,8.6,13.9,8.24,22.7,16.84
9.74,9.32,9.04,5.86,8.52,8.62,13.83,8.28,22.8,16.85
9.35,8.96,8.84,5.7,8.09,8.24,14.01,7.8,21.3,16.91
9.39,9.14,8.99,5.78,8.22,8.31,14.29,7.95,21.5,17
9.6,9.14,7.92,5.7,8.28,8.34,14.29,7.95,21.52,17.39
10.14,9.28,7.96,5.73,8.48,8.45,14.38,8.1,21.87,17.17
10.18,9.35,8.1,5.8,8.48,8.66,14.4,8.18,22.48,17.1
10.2,9.36,8.24,5.95,8.82,8.6,14.28,8.05,22.8,17.17
10.05,9.23,8.03,5.95,8.82,8.53,14.65,7.98,22.08,17.25
10.11,9.2,7.97,5.95,9.02,8.51,14.59,8.16,22.3,17.26
9.99,9.02,7.86,5.85,8.87,8.4,14.53,8.11,22.3,17.26
9.99,8.99,7.92,5.81,8.78,8.36,14.19,8.11,22.17,16.8
10.18,9.22,7.99,5.81,9.1,8.4,14.39,8.21,22.3,16.8
10.35,9.15,7.96,5.8,9.16,8.46,14,8.26,22.5,16.73
10.1,9.02,7.81,5.75,9,8.26,13.5,8.18,22.04,16.87
10.14,9.05,7.76,5.7,9.19,8.23,13.95,8.1,21.88,16.79
10.07,8.91,7.68,5.68,8.99,8.21,13.93,8.05,21.85,16.97
9.75,8.44,7.32,5.5,8.61,8,13.76,7.79,20.95,17.15
9.94,8.34,7.42,5.49,8.75,8.08,13.96,7.79,20.75,17
9.9,8.38,7.49,5.54,8.88,8.07,13.88,7.77,21.23,17.34
9.74,8.27,7.64,5.5,8.65,8.04,14.15,7.81,20.95,17.09
9.7,8.28,7.69,5.5,8.54,8.05,14.08,7.8,21.05,17.1
9.66,8.21,7.49,5.5,8.58,7.96,13.9,8.24,21.1,17.28
9.95,8.42,7.68,5.63,8.68,8.14,13.55,8.52,22.45,17.08
9.98,8.48,7.69,5.67,8.65,8.2,13.64,8.55,22.3,16.88
9.86,8.42,7.54,5.6,8.4,8.2,13.63,8.43,22,16.85
9.66,8.15,7.35,5.45,8.14,8.02,13.5,8.12,21.1,16.84
9.89,8.49,7.48,5.55,8.33,8.16,13.39,8.35,22,16.81
10.06,8.52,7.51,5.71,8.18,8.23,13.37,8.36,22.2,16.72
9.9,8.33,7.36,5.85,8.03,8.1,13,8.43,21.73,16.48
9.98,8.28,7.62,5.73,7.84,8.1,13,8.62,21.98,16.19
9.72,8.3,7.55,5.7,7.45,7.94,13.19,8.5,21.45,15.89
9.41,8.12,7.48,5.58,7.08,8.07,13.15,8.26,21,16.08
9.53,8.14,7.58,5.62,7.32,8.15,13.19,8.44,21,15.92
9.6,8.26,7.92,5.68,6.95,8.36,12.86,9.28,21.58,16.01
9.51,8.3,7.9,5.68,6.86,8.3,12.96,9.46,21.7,16.16
9.42,8.13,7.8,5.66,6.71,8.09,12.83,9.74,21.6,15.95
9.39,8.11,7.79,5.62,6.72,8.05,12.78,9.58,21.7,15.8
9.37,8.05,7.79,5.6,6.38,7.98,13,9.35,21.65,15.6
9.09,7.92,7.68,5.53,6.06,8.04,12.88,9.26,21.21,15.71
8.95,7.98,7.67,5.52,6.04,8.02,12.9,9.53,21.25,15.81
8.95,8.04,7.65,5.59,5.93,7.87,12.85,9.3,20.85,15.81
8.66,7.9,7.43,5.55,6.23,7.95,12.4,9.36,20.3,15.71
8.8,7.98,7.65,5.57,6.32,7.52,12.8,9.86,20.5,15.69
8.5,7.72,7.45,5.36,6.17,7.4,12.68,9.53,19.7,15.22
8,7.57,7.28,5.11,5.97,7.65,12.2,9.37,18.79,15.02
8.37,7.85,7.64,5.19,6.08,7.53,12.2,10.1,19.4,14.94
8.3,7.9,7.85,5.16,6.35,7.4,12.1,10.23,19.78,14.45
8.11,7.71,7.93,5.12,6.3,7.36,12,10.11,19,14.42
8.08,7.66,8.01,5.25,6.17,7.16,11.7,10.03,18.89,14.44
7.78,7.45,7.85,5.23,6.06,6.93,12.87,9.83,18.63,14.48
7.4,7.3,7.9,5.33,5.89,6.6,12.9,9.15,17.7,14.3
7.29,7.7,8.02,5.11,5.6,7.26,12.62,8.4,16.88,14.4
8.02,8.47,8.82,5.62,5.88,7.58,12.71,9.24,18.57,14.07
8.47,8.8,8.83,5.64,6.17,7.25,12.87,9.78,19.4,14.05
8.1,8.52,8.68,5.52,5.97,7.23,12.8,10.1,18.82,13.88
8.12,8.87,8.81,5.54,5.92,7.37,12.91,10.01,18.7,14.57
8.28,8.98,8.81,5.72,6.17,7.36,12.69,10.2,19.05,14.9
8.29,8.69,8.56,5.6,6.18,7.34,12.5,9.96,19.25,14.6
